id,location,city,distinct,province_id,people,GDPTotal,GDPPerson
533100,德宏傣族景颇族自治州,1,0,530000,130.9,381.06,29110.77
533300,怒江傈僳族自治州,1,0,530000,54.9,161.56,29428.05
533400,迪庆藏族自治州,1,0,530000,41.2,217.52,52796.12
540100,拉萨市,1,0,540000,68.83,540.78,78567.49
540200,日喀则市,1,0,540000,77.1,243.2,31543.45
540300,昌都市,1,0,540000,70.48,191.42,27159.48
540400,林芝市,1,0,540000,22.82,150.01,65736.2
542200,山南地区,1,0,540000,36.81,164.32,44640.04
542400,那曲地区,1,0,540000,50.37,135.67,26934.68
542500,阿里地区,1,0,540000,10.74,52.62,48994.41
610100,西安市,1,0,610000,961.67,8349,86817.72
610200,铜川市,1,0,610000,83.34,327.96,39352.05
610300,宝鸡市,1,0,610000,378.1,2265.16,59909.02
610400,咸阳市,1,0,610000,436.66,2376.45,54423.35
610500,渭南市,1,0,610000,538.29,1767.71,32839.36
610600,延安市,1,0,610000,226.31,1558.91,68883.83
610700,汉中市,1,0,610000,344.93,1471.88,42671.85
610800,榆林市,1,0,610000,340.33,3848.6,113084.36
610900,安康市,1,0,610000,266.1,1133.77,42606.91
611000,商洛市,1,0,610000,238.13,824.77,34635.28
620100,兰州市,1,0,620000,372.96,2732.9,73275.95
620200,嘉峪关市,1,0,620000,24.98,299.62,119943.96
620300,金昌市,1,0,620000,46.92,264.2,56308.61
620400,白银市,1,0,620000,172.93,511.6,29584.22
620500,天水市,1,0,620000,333.98,652.1,19525.12
620600,武威市,1,0,620000,160.42,469.3,29254.46
620700,张掖市,1,0,620000,122.93,407.7,33165.22
620800,平凉市,1,0,620000,211.28,395.2,18705.04
620900,酒泉市,1,0,620000,112.36,596.9,53123.89
621000,庆阳市,1,0,620000,225.66,708.2,31383.5
621100,定西市,1,0,620000,280.84,356.26,12685.51
621200,陇南市,1,0,620000,262.31,379.2,14456.18
622900,临夏回族自治州,1,0,620000,204.41,255.3,12489.6
623000,甘南藏族自治州,1,0,620000,71.62,155.7,21739.74
630100,西宁市,1,0,630000,237.11,1286.41,54253.72
630200,海东市,1,0,630000,148.02,451.5,30502.63
632200,海北藏族自治州,1,0,630000,29.56,83.53,28257.78
632300,黄南藏族自治州,1,0,630000,27.68,88.33,31911.13
632500,海南藏族自治州,1,0,630000,47.63,158.18,33210.16
