province_id,province_name,city_id,city_name,city_confirmedNum,city_deathsNum,city_curesNum
370000,山东省,370700,潍坊市,44,0,44
370000,山东省,370800,济宁市,260,0,260
370000,山东省,370900,泰安市,35,2,33
370000,山东省,371000,威海市,38,1,37
370000,山东省,371100,日照市,16,0,16
370000,山东省,371200,莱芜市,0,0,0
370000,山东省,371300,临沂市,49,0,49
370000,山东省,371400,德州市,37,2,35
370000,山东省,371500,聊城市,38,0,38
370000,山东省,371600,滨州市,15,0,15
370000,山东省,371700,菏泽市,18,0,18
410000,河南省,410100,郑州市,157,5,152
410000,河南省,410200,开封市,26,0,26
410000,河南省,410300,洛阳市,31,1,30
410000,河南省,410400,平顶山市,58,1,57
410000,河南省,410500,安阳市,53,0,53
410000,河南省,410600,鹤壁市,19,0,19
410000,河南省,410700,新乡市,57,3,54
410000,河南省,410800,焦作市,32,1,31
410000,河南省,410900,濮阳市,17,0,17
410000,河南省,411000,许昌市,39,1,38
410000,河南省,411100,漯河市,36,0,36
410000,河南省,411200,三门峡市,7,1,6
410000,河南省,411300,南阳市,156,3,153
410000,河南省,411400,商丘市,91,3,88
410000,河南省,411500,信阳市,274,2,272
410000,河南省,411600,周口市,76,1,75
410000,河南省,411700,驻马店市,139,0,139
420000,湖北省,420100,武汉市,50007,2579,47211
420000,湖北省,420200,黄石市,1015,39,976
420000,湖北省,420300,十堰市,672,8,664
420000,湖北省,420500,宜昌市,931,36,894
420000,湖北省,420600,襄阳市,1175,40,1135
420000,湖北省,420700,鄂州市,1394,59,1335
420000,湖北省,420800,荆门市,928,41,887
420000,湖北省,420900,孝感市,3518,129,3389
420000,湖北省,421000,荆州市,1580,52,1528
420000,湖北省,421100,黄冈市,2907,125,2782
420000,湖北省,421200,咸宁市,836,15,821
420000,湖北省,421300,随州市,1307,45,1262
420000,湖北省,422800,恩施土家族苗族自治州,252,7,245
430000,湖南省,430100,长沙市,242,2,240
430000,湖南省,430200,株洲市,80,0,80
430000,湖南省,430300,湘潭市,36,0,36
430000,湖南省,430400,衡阳市,48,0,48
430000,湖南省,430500,邵阳市,102,1,101
430000,湖南省,430600,岳阳市,156,1,155
430000,湖南省,430700,常德市,82,0,82
430000,湖南省,430800,张家界市,5,0,5
430000,湖南省,430900,益阳市,60,0,60
430000,湖南省,431000,郴州市,39,0,39
430000,湖南省,431100,永州市,44,0,44
430000,湖南省,431200,怀化市,40,0,40
430000,湖南省,431300,娄底市,76,0,76
430000,湖南省,433100,湘西土家族苗族自治州,8,0,8
440000,广东省,440100,广州市,488,1,442
