id,npp
110000,6.25382
120000,7.12393
130100,2.14262
130200,2.67739
130300,1.50255
130400,1.4813
130500,1.31178
130600,1.33822
130700,0.672233
130800,0.5163
130900,1.83646
131000,3.66481
131100,1.14608
140100,4.09708
140200,1.44968
140300,0.992681
140400,1.06386
140500,0.889693
140600,1.12574
140700,0.9817
140800,0.832337
140900,0.650625
141000,0.666375
141100,0.694722
150100,1.85566
150200,1.00631
150300,2.53165
150400,0.436559
150500,0.504383
150600,0.621625
150700,0.344267
150800,0.395381
150900,0.478978
152200,0.382425
152500,0.385629
152900,0.31323
210100,4.11664
210200,2.29237
210300,1.67002
210400,1.13066
210500,1.03637
210600,0.707199
210700,1.3574
210800,3.05595
210900,0.779354
211000,2.44427
211100,4.10346
211200,0.894449
211300,0.637401
211400,1.03023
220100,3.5536
220200,0.853622
220300,1.19451
220400,1.0596
220500,0.826346
220600,0.452778
220700,0.847073
220800,0.512327
222400,0.457234
230100,1.2758
230200,0.679654
230300,0.545491
230400,0.537846
230500,0.497747
230600,1.78559
230700,0.328267
230800,0.688626
230900,0.784092
231000,0.504914
231100,0.365985
231200,0.65893
232700,0.273413
310000,15.5651
320100,7.44142
320200,8.45581
320300,2.41199
320400,6.51814
320500,11.4742
320600,4.18709
320700,2.44813
320800,1.931
320900,2.02597
321000,3.23325
321100,4.93802
321200,3.88581
321300,2.08285
330100,3.69726
330200,6.49958
330300,3.53686
330400,6.39093
330500,3.16179
330600,3.15878
330700,3.56807
330800,1.00355
330900,7.75963
331000,3.23333
331100,0.634188
340100,3.70561
340200,2.37371
340300,1.75058
340400,1.55572
340500,2.3919
340600,2.26834
340700,1.44358
340800,0.823457
341000,0.334937
341100,1.43525
341200,2.01154
341300,1.28669
341500,0.953421
341600,1.39392
341700,0.542162
341800,0.68591
350100,3.43808
350200,16.1006
350300,3.33628
350400,0.387466
350500,3.82514
350600,2.06863
350700,0.400355
350800,0.574175
350900,1.05181
360100,2.69229
360200,1.0705
360300,0.654774
360400,0.623263
360500,0.76776
360600,0.850826
360700,0.492563
360800,0.304451
360900,0.557316
361000,0.409627
361100,0.529299
370100,3.34309
370200,4.18367
370300,2.78736
370400,2.0146
370500,2.4286
370600,1.94812
370700,2.09345
370800,1.78594
370900,2.28206
371000,2.76349
371100,1.95499
371300,1.78431
