id,location,rh,t2m,moveIn,moveOut,travel,420100_moveIn,confirmed,date
220100,长春市,64.978175,256.5650416666667,1.905282,2.0963772,5.9355,0.0,0.0,20200117
220200,吉林市,65.85367083333334,256.849125,0.7220664000000001,0.5318136,5.6054,0.0,0.0,20200117
220300,四平市,57.1271625,258.37050000000005,0.8586648000000001,0.6237648,5.1657,0.0,0.0,20200117
220400,辽源市,59.052675,259.025,0.24756839999999997,0.167346,5.6423,0.0,0.0,20200117
220500,通化市,62.44856666666666,258.249375,0.4192236,0.2686608,5.3376,0.0,0.0,20200117
220600,白山市,70.09635416666666,256.12404166666664,0.2110536,0.1459944,5.3055,0.0,0.0,20200117
220700,松原市,60.30693333333333,257.1582916666667,0.6061715999999999,0.42774480000000004,5.7553,0.0,0.0,20200117
220800,白城市,63.65538333333333,257.52366666666666,0.37551599999999996,0.28317600000000004,5.4164,0.0,0.0,20200117
222400,延边朝鲜族自治州,60.1605625,258.8525,0.2856708,0.24931799999999998,5.5574,0.0,0.0,20200117
230100,哈尔滨市,68.00035000000001,254.432,2.411694,2.3440103999999997,5.5989,1.224139068,0.0,20200117
230200,齐齐哈尔市,76.12365416666667,253.82412499999995,0.875124,0.5148684,5.4394,0.0,0.0,20200117
230300,鸡西市,61.95526666666668,256.72545833333334,0.21072960000000002,0.16443,5.1091,0.0,0.0,20200117
230400,鹤岗市,70.24952916666668,254.24716666666663,0.15739920000000002,0.13517279999999998,5.4858,0.0,0.0,20200117
230500,双鸭山市,66.80357499999998,255.85216666666668,0.23946839999999997,0.1909332,5.3015,0.0,0.0,20200117
230600,大庆市,69.8830125,254.828125,0.6593399999999999,0.671652,6.1595,0.0,0.0,20200117
230700,伊春市,81.59430833333336,252.415,0.2001348,0.1222128,4.7249,0.0,0.0,20200117
230800,佳木斯市,71.75349583333335,254.49408333333335,0.49076279999999994,0.3635928,5.4375,0.0,0.0,20200117
230900,七台河市,66.14475416666666,255.72620833333332,0.1300212,0.1027404,6.1307,0.0,0.0,20200117
231000,牡丹江市,66.06100416666666,256.3590000000001,0.3772656,0.2550852,5.2554,0.0,0.0,20200117
231100,黑河市,80.30370833333333,252.82762499999995,0.2606256,0.21558960000000002,4.7591,0.0,0.0,20200117
231200,绥化市,76.26482083333333,252.8514583333333,1.1887883999999997,0.7153271999999999,5.2746,0.0,0.0,20200117
232700,大兴安岭地区,85.89315833333335,251.0653333333333,0.067716,0.0641196,4.8178,0.0,0.0,20200117
310000,上海市,74.3979541666667,278.617125,6.046293599999999,13.4792424,6.2951,5.15426976,0.0,20200117
320100,南京市,79.10742083333334,276.4724166666667,3.7789415999999996,5.239404,6.1542,2.061707904,0.0,20200117
320200,无锡市,78.39302916666666,277.24970833333333,2.2731516,4.7180232,5.9663,0.9019972079999999,0.0,20200117
