id,rh_mean,rh_max,rh_min,t2m_mean,t2m_max,t2m_min,confirmedNum,deathsNum,curesNum,city_baidu_id,location,moveIn_index_sum,moveIn_index_max,moveIn_index_min,moveOut_index_sum,moveOut_index_max,moveOut_index_min,travel_index_sum,travel_index_max,travel_index_min,moveIn_sum,moveOut_sum
110102,43.30702162299009,88.97947916666668,15.627597083333333,275.48830805504014,289.4024166666667,264.98883333333333,106.0,0.0,0.0,110000,西城区,439.1310995999997,13.858452,1.539648,471.83371560000006,23.914472399999998,0.8073108,332.2489000000001,6.6375,1.3431,138.150431928,194.41133060400003
110106,48.743195616883106,88.24860833333332,22.50108333333333,274.2445839904143,287.6408333333333,263.35183333333333,86.0,0.0,0.0,110000,丰台区,439.1310995999997,13.858452,1.539648,471.83371560000006,23.914472399999998,0.8073108,332.2489000000001,6.6375,1.3431,138.150431928,194.41133060400003
110109,46.21350489718615,86.87129583333333,18.581041666666664,272.68064254792824,286.241875,261.67879166666665,6.0,0.0,0.0,110000,门头沟区,439.1310995999997,13.858452,1.539648,471.83371560000006,23.914472399999998,0.8073108,332.2489000000001,6.6375,1.3431,138.150431928,194.41133060400003
110111,48.54776477272726,87.50670416666668,19.63385,274.1277054730984,287.38179166666674,263.237,32.0,0.0,0.0,110000,房山区,439.1310995999997,13.858452,1.539648,471.83371560000006,23.914472399999998,0.8073108,332.2489000000001,6.6375,1.3431,138.150431928,194.41133060400003
110112,40.18948054112555,93.78325833333336,9.338535833333337,275.77635617656153,289.904125,265.46770833333335,38.0,0.0,0.0,110000,通州区,439.1310995999997,13.858452,1.539648,471.83371560000006,23.914472399999998,0.8073108,332.2489000000001,6.6375,1.3431,138.150431928,194.41133060400003
110113,43.38110567717996,93.17784583333334,14.334961666666665,275.09429978354984,288.98154166666666,264.41904166666666,20.0,0.0,0.0,110000,顺义区,439.1310995999997,13.858452,1.539648,471.83371560000006,23.914472399999998,0.8073108,332.2489000000001,6.6375,1.3431,138.150431928,194.41133060400003
110114,46.648222762059355,89.5483,20.903879166666666,274.08364420995684,287.4764583333333,262.55737500000004,58.0,0.0,2.0,110000,昌平区,439.1310995999997,13.858452,1.539648,471.83371560000006,23.914472399999998,0.8073108,332.2489000000001,6.6375,1.3431,138.150431928,194.41133060400003
110115,42.56321179653681,93.75072916666666,10.765524999999998,276.1953142393322,290.51354166666664,266.26054166666665,78.0,0.0,32.0,110000,大兴区,439.1310995999997,13.858452,1.539648,471.83371560000006,23.914472399999998,0.8073108,332.2489000000001,6.6375,1.3431,138.150431928,194.41133060400003
110116,45.94861073477114,86.03393333333332,17.095270833333334,271.9888251391465,284.9314583333333,261.270625,14.0,0.0,0.0,110000,怀柔区,439.1310995999997,13.858452,1.539648,471.83371560000006,23.914472399999998,0.8073108,332.2489000000001,6.6375,1.3431,138.150431928,194.41133060400003
110117,43.27758818568336,93.46863333333332,14.618247499999995,275.38901445578233,289.4244166666667,264.70454166666667,0.0,0.0,0.0,110000,平谷区,439.1310995999997,13.858452,1.539648,471.83371560000006,23.914472399999998,0.8073108,332.2489000000001,6.6375,1.3431,138.150431928,194.41133060400003
110118,44.67861861587814,90.61510833333335,17.344350000000002,273.4202227891158,286.3383333333333,263.07841666666667,14.0,0.0,0.0,110000,密云区,439.1310995999997,13.858452,1.539648,471.83371560000006,23.914472399999998,0.8073108,332.2489000000001,6.6375,1.3431,138.150431928,194.41133060400003
110119,45.06994361781077,84.37552499999998,16.4734,271.7414287646878,284.7713333333333,261.01837500000005,2.0,0.0,0.0,110000,延庆区,439.1310995999997,13.858452,1.539648,471.83371560000006,23.914472399999998,0.8073108,332.2489000000001,6.6375,1.3431,138.150431928,194.41133060400003
120104,45.07013128633273,89.10530833333334,10.267199583333333,277.15676758658003,290.4309166666667,268.0579166666667,12.0,0.0,12.0,120000,南开区,203.75248679999993,4.458564,0.5415012,215.28536400000002,7.012817999999999,0.359802,376.62930000000017,6.3527,1.4763,31.567883436000013,36.747233388000005
