date,city,cityCode,confirmed,cured,dead
2020-02-28,重庆市,500000,576,422,6
2020-02-29,北京市,110000,413,276,8
2020-02-29,天津市,120000,136,109,3
2020-02-29,上海市,310000,337,287,3
2020-02-29,重庆市,500000,576,438,6
2020-03-01,北京市,110000,414,282,8
2020-03-01,天津市,120000,136,111,3
2020-03-01,上海市,310000,337,290,3
2020-03-01,重庆市,500000,576,450,6
2020-03-02,北京市,110000,414,288,8
2020-03-02,天津市,120000,136,118,3
2020-03-02,上海市,310000,338,292,3
2020-03-02,重庆市,500000,576,469,6
2020-03-03,北京市,110000,417,294,8
2020-03-03,天津市,120000,136,124,3
2020-03-03,上海市,310000,338,294,3
2020-03-03,重庆市,500000,576,490,6
2020-03-04,北京市,110000,418,297,8
2020-03-04,天津市,120000,136,128,3
2020-03-04,上海市,310000,338,298,3
2020-03-04,重庆市,500000,576,502,6
2020-03-05,北京市,110000,422,298,8
2020-03-05,天津市,120000,136,128,3
2020-03-05,上海市,310000,339,303,3
2020-03-05,重庆市,500000,576,512,6
2020-03-06,北京市,110000,426,303,8
2020-03-06,天津市,120000,136,128,3
2020-03-06,上海市,310000,342,306,3
2020-03-06,重庆市,500000,576,520,6
2020-03-07,北京市,110000,428,308,8
2020-03-07,天津市,120000,136,128,3
2020-03-07,上海市,310000,342,313,3
2020-03-07,重庆市,500000,576,526,6
2020-03-08,北京市,110000,428,315,8
2020-03-08,天津市,120000,136,129,3
2020-03-08,上海市,310000,342,314,3
2020-03-08,重庆市,500000,576,527,6
2020-03-09,北京市,110000,429,320,8
2020-03-09,天津市,120000,136,130,3
2020-03-09,上海市,310000,342,315,3
2020-03-09,重庆市,500000,576,542,6
2020-03-10,北京市,110000,435,326,8
2020-03-10,天津市,120000,136,131,3
2020-03-10,上海市,310000,344,319,3
2020-03-10,重庆市,500000,576,547,6
2020-03-11,北京市,110000,435,334,8
2020-03-11,天津市,120000,136,132,3
2020-03-11,上海市,310000,344,320,3
2020-03-11,重庆市,500000,576,554,6
2020-03-12,北京市,110000,436,342,8
2020-03-12,天津市,120000,136,132,3
2020-03-12,上海市,310000,346,321,3
2020-03-12,重庆市,500000,576,564,6
2020-03-13,北京市,110000,437,349,8
2020-03-13,天津市,120000,136,132,3
2020-03-13,上海市,310000,350,324,3
2020-03-13,重庆市,500000,576,566,6
2020-03-14,北京市,110000,442,353,8
2020-03-14,天津市,120000,136,132,3
2020-03-14,上海市,310000,353,324,3
2020-03-14,重庆市,500000,576,569,6
