id,rh_mean,rh_max,rh_min,rh_mean_before,rh_max_before,rh_min_before,rh_mean_after,rh_max_after,rh_min_after,t2m_mean,t2m_max,t2m_min,t2m_mean_before,t2m_max_before,t2m_min_before,t2m_mean_after,t2m_max_after,t2m_min_after,npp,people,GDPTotal,GDPPerson,location,confirmed_before,cured_before,dead_before,confirmed,cured,dead,confirmed_after,cured_after,dead_after,moveIn_index_mean,moveIn_index_max,moveIn_index_min,moveIn_index_mean_before,moveIn_index_max_before,moveIn_index_min_before,moveIn_index_mean_after,moveIn_index_max_after,moveIn_index_min_after,moveOut_index_mean,moveOut_index_max,moveOut_index_min,moveOut_index_mean_before,moveOut_index_max_before,moveOut_index_min_before,moveOut_index_mean_after,moveOut_index_max_after,moveOut_index_min_after,travel_index_mean,travel_index_max,travel_index_min,travel_index_mean_before,travel_index_max_before,travel_index_min_before,travel_index_mean_after,travel_index_max_after,travel_index_min_after,420100_moveIn_mean,420100_moveIn_mean_before,420100_moveIn_mean_after,420100_moveIn_max,420100_moveIn_max_before,420100_moveIn_max_after,420100_moveIn_min,420100_moveIn_min_before,420100_moveIn_min_after,confirmed_log,cured_log,dead_log,confirmed_before_log,cured_before_log,dead_before_log,confirmed_after_log,cured_after_log,dead_after_log
110000,50.60606079545453,86.72239583333332,26.050937500000003,46.992046875,57.51778333333333,34.09358333333333,51.409175,86.72239583333332,26.050937500000003,271.0214299242424,277.41508333333337,263.59191666666675,268.27955729166666,270.7672083333333,267.05375000000004,271.6307349537038,277.41508333333337,263.59191666666675,6.253819999999999,2154.2,30320.0,140748.31,北京市,41,0,0,414,282,8,373,282,8,3.820086720000001,7.910265600000001,1.539648,5.998363200000001,7.910265600000001,2.5494263999999998,3.2755176,6.3441792,1.539648,4.767706080000002,23.914472399999998,0.8073108,18.5772348,23.914472399999998,8.116686,1.3153238999999999,5.303232,0.8073108,2.344048888888889,6.1884,1.3431,4.1328000000000005,6.1884,1.8254,1.8968611111111116,2.792,1.3431,0.8908061039999997,4.216608900000001,0.059355404999999986,6.893835804,6.893835804,0.277644024,0.017057628000000002,0.5446057679999999,0.017057628000000002,6.028278520230698,5.645446897643238,2.1972245773362196,3.7376696182833684,0.0,0.0,5.924255797414532,5.645446897643238,2.1972245773362196
120000,52.17952140151515,90.38672916666668,23.630437500000006,46.91676041666667,60.70629166666666,25.32798750000001,53.3490238425926,90.38672916666668,23.630437500000006,273.78353882575755,279.60375000000005,268.48016666666666,271.707,273.34175,270.4505,274.2449918981481,279.60375000000005,268.48016666666666,7.1239300000000005,1556.87,18809.64,120817.02,天津市,10,0,0,136,111,3,126,111,3,1.4917053600000003,3.2241888,0.5415012,2.5617204000000005,3.2241888,1.258092,1.2242015999999998,2.5123607999999997,0.5415012,1.6501708799999992,7.012817999999999,0.359802,5.4865368,7.012817999999999,2.5204932,0.6910794,2.0054952,0.359802,2.5650577777777777,5.7254,1.4763,4.452222222222222,5.7254,2.6262,2.0932666666666666,2.9717,1.4763,0.16608213359999996,0.7682764679999999,0.01553355,1.0798446959999999,1.0798446959999999,0.06641967600000001,0.0,0.10373443199999999,0.0,4.919980925828125,4.718498871295094,1.3862943611198906,2.3978952727983707,0.0,0.0,4.844187086458591,4.718498871295094,1.3862943611198906
130100,55.50260388257575,87.73307499999999,22.7543375,50.7929203125,63.900370833333334,34.4772625,56.54920023148149,87.73307499999999,22.7543375,273.6433361742424,280.0600833333333,268.3022916666667,270.87509375,272.78041666666667,269.62579166666666,274.25850115740747,280.0600833333333,268.3022916666667,2.14262,1087.99,6082.6,55906.76,石家庄市,5,0,0,29,27,0,24,27,0,1.0580018400000002,2.9885112,0.36592559999999996,2.3872104,2.9885112,1.1462796,0.7256997,2.0124612,0.36592559999999996,1.1584944000000004,4.0872924,0.3948264,3.1785732,4.0872924,1.502712,0.6534746999999999,1.4131908000000002,0.3948264,2.63356,5.6478,1.7145,4.646077777777777,5.6478,2.5928,2.130430555555555,2.8869,1.7145,0.2263215527999999,1.095441948,0.009041454,1.6576449120000003,1.6576449120000003,0.039663432,0.0,0.10373443199999999,0.0,3.4011973816621555,3.332204510175204,0.0,1.791759469228055,0.0,0.0,3.2188758248682006,3.332204510175204,0.0
130200,51.6580534090909,93.55152916666668,27.5501375,47.05627239583334,63.30358333333334,27.5501375,52.68067141203703,93.55152916666668,28.009716666666666,272.728300189394,279.40087500000004,265.58820833333334,270.98909375,272.45250000000004,269.52850000000007,273.1147905092593,279.40087500000004,265.58820833333334,2.67739,789.7,6955.0,88071.42,唐山市,0,0,0,58,48,1,0,0,0,0.6300604800000001,1.8369828000000001,0.20094479999999998,1.4663016000000002,1.8369828000000001,0.8774892,0.42100020000000005,0.9706068000000001,0.20094479999999998,0.61107048,1.6612128000000002,0.200718,1.3764096000000001,1.6612128000000002,0.8376048,0.41973570000000016,1.0354068,0.200718,3.1678911111111105,5.688,1.8941,5.193033333333333,5.688,4.0843,2.661605555555556,3.8499,1.8941,0.0013962024,0.0,0.0017452529999999998,0.009590724,0.0,0.009590724,0.0,0.0,0.0,4.07753744390572,3.8918202981106265,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0
130300,51.87272282196969,89.61441666666668,29.95794583333333,48.088971875,70.36373750000003,30.80741666666667,52.713556365740736,89.61441666666668,29.95794583333333,271.5050037878788,278.1177916666667,262.46416666666664,270.05652604166664,271.89916666666664,268.3494583333334,271.8268877314815,278.1177916666667,262.46416666666664,1.50255,311.08,1635.56,52576.83,秦皇岛市,0,0,0,10,9,1,0,0,0,0.3207412800000001,0.9455616,0.1004076,0.7569504000000001,0.9455616,0.46519920000000003,0.211689,0.601668,0.1004076,0.3006748799999999,0.779868,0.0818424,0.6621408000000001,0.779868,0.42712920000000004,0.2103084,0.5374836,0.0818424,3.0748644444444437,5.5038,1.8130000000000002,4.922088888888889,5.5038,3.4338,2.613058333333333,3.6846,1.8130000000000002,0.00030253679999999995,0.0,0.000378171,0.008566236,0.0,0.008566236,0.0,0.0,0.0,2.3978952727983707,2.302585092994046,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0
130400,56.82209857954544,83.02827083333334,24.7528625,56.38597395833333,78.44317500000002,33.02822083333333,56.91901516203704,83.02827083333334,24.7528625,275.8672092803031,284.0454583333334,270.9291666666666,273.0440625,273.8979166666666,272.2750833333334,276.4945752314814,284.0454583333334,270.9291666666666,1.4813,951.11,3454.6,36321.77,邯郸市,2,0,0,32,31,0,30,31,0,0.84080664,3.4095816,0.2580984,2.6194716,3.4095816,1.1963700000000002,0.39614040000000006,0.8706528,0.2580984,0.7710544800000002,1.4067756,0.40493520000000005,1.1558591999999999,1.4067756,0.595188,0.6748533000000001,1.0097136,0.40493520000000005,3.0769466666666667,5.9318,1.8626,5.269744444444443,5.9318,3.5571,2.5287472222222216,3.3369,1.8626,0.21328102800000004,1.037995524,0.007102404000000001,1.503144216,1.503144216,0.025814376,0.0,0.0,0.0,3.4965075614664802,3.4657359027997265,0.0,1.0986122886681098,0.0,0.0,3.4339872044851463,3.4657359027997265,0.0
130500,56.47409971590909,83.70726666666668,23.42135416666666,55.05314479166667,74.45915,31.36685,56.78986747685185,83.70726666666668,23.42135416666666,275.4209214015151,283.3268750000001,270.8765,272.31022916666666,273.26387500000004,271.3877083333333,276.11218634259257,283.3268750000001,270.8765,1.31178,735.16,2150.76,29255.67,邢台市,0,0,0,23,22,1,0,0,0,0.6515020800000001,2.8281312,0.1518588,2.1742487999999995,2.8281312,0.9007200000000001,0.27081540000000004,0.6755399999999999,0.1518588,0.5894992800000001,1.2264696000000002,0.24371279999999998,0.9698832000000001,1.2264696000000002,0.48438000000000003,0.49440329999999993,0.9580031999999999,0.24371279999999998,2.6995488888888888,5.7471,1.4716,5.059211111111111,5.7471,3.2879,2.109633333333333,3.2572,1.4716,0.1805138136,0.897321708,0.00131184,1.329120576,1.329120576,0.012787632,0.0,0.0,0.0,3.1780538303479458,3.1354942159291497,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0
130600,53.62587509469699,85.58514166666667,25.621866666666676,48.73097552083333,61.4454,33.314962499999986,54.713630555555575,85.58514166666667,25.621866666666676,272.4364678030303,278.6841666666666,266.6495416666666,269.55386458333334,271.83683333333335,268.6806666666667,273.07704629629643,278.6841666666666,266.6495416666666,1.33822,1169.05,3589.8,30706.98,保定市,3,0,0,32,32,0,29,32,0,0.9840218399999998,4.0152024,0.22903560000000003,3.1243752000000002,4.0152024,1.5661188,0.4489335,1.401948,0.22903560000000003,0.9311580000000002,2.6725464,0.302616,2.0927124000000004,2.6725464,0.93474,0.6407694,1.6562232,0.302616,2.2694933333333336,5.1671,1.2619,4.553344444444446,5.1671,2.5445,1.6985305555555554,2.4384,1.2619,0.14767097039999993,0.709141248,0.007303401000000002,1.07367444,1.07367444,0.047044800000000005,0.0,0.0,0.0,3.4965075614664802,3.4965075614664802,0.0,1.3862943611198906,0.0,0.0,3.4011973816621555,3.4965075614664802,0.0
130700,50.50538759469698,75.766625,25.22558333333333,51.03341510416666,58.50101666666666,37.602175,50.38804814814816,75.766625,25.22558333333333,266.98170265151515,274.65954166666666,259.32754166666666,264.1091927083333,265.8347916666666,262.76099999999997,267.62003819444436,274.65954166666666,259.32754166666666,0.672233,443.3,1536.6,34662.76,张家口市,0,0,0,41,35,0,0,0,0,0.45011088,1.8043884,0.12101400000000001,1.3664484000000003,1.8043884,0.7347996,0.2210265,0.7796736,0.12101400000000001,0.4162838400000001,0.8423352,0.1748304,0.6960348000000001,0.8423352,0.34972559999999997,0.3463460999999999,0.7174332,0.1748304,3.1803999999999992,5.3764,2.0207,5.123255555555557,5.3764,4.5297,2.694686111111111,4.6622,2.0207,0.0011980944,0.0,0.0014976179999999998,0.009412848,0.0,0.009412848,0.0,0.0,0.0,3.7376696182833684,3.58351893845611,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130800,53.82731903409091,82.66422916666669,32.33207500000001,53.34103437500001,60.56342083333333,41.29886250000001,53.93538229166666,82.66422916666669,32.33207500000001,266.6256070075758,274.4175833333333,257.6459583333334,264.1635885416666,265.72158333333334,262.63770833333336,267.17272222222215,274.4175833333333,257.6459583333334,0.5163,356.5,1481.5,41556.8,承德市,1,0,0,7,7,0,6,7,0,0.3304231200000001,1.4094323999999998,0.0733212,1.0165176,1.4094323999999998,0.50139,0.15889949999999994,0.5272776,0.0733212,0.2840356799999999,0.6274584,0.0710532,0.4678308,0.6274584,0.2171448,0.23808690000000002,0.5172011999999999,0.0710532,3.110331111111112,5.4459,1.8534,4.899277777777779,5.4459,3.4198,2.6630944444444453,3.6225,1.8534,0.000112176,0.0,0.00014022,0.00504792,0.0,0.00504792,0.0,0.0,0.0,2.0794415416798357,2.0794415416798357,0.0,0.6931471805599453,0.0,0.0,1.9459101490553132,2.0794415416798357,0.0
