id,t2m_mean,t2m_max,t2m_min,t2m_mean_before,t2m_max_before,t2m_min_before,t2m_mean_after,t2m_max_after,t2m_min_after
110000,271.0214299242424,277.41508333333337,263.59191666666675,268.2795572916667,270.7672083333333,267.05375000000004,271.6307349537038,277.41508333333337,263.59191666666675
120000,273.78353882575755,279.60375000000005,268.4801666666667,271.707,273.34175,270.4505,274.2449918981481,279.60375000000005,268.4801666666667
130100,273.6433361742424,280.06008333333335,268.3022916666667,270.87509374999996,272.7804166666667,269.62579166666666,274.25850115740747,280.06008333333335,268.3022916666667
130200,272.728300189394,279.40087500000004,265.58820833333334,270.98909375,272.45250000000004,269.52850000000007,273.1147905092593,279.40087500000004,265.58820833333334
130300,271.5050037878788,278.1177916666667,262.46416666666664,270.05652604166664,271.89916666666664,268.3494583333334,271.8268877314815,278.1177916666667,262.46416666666664
130400,275.8672092803031,284.0454583333334,270.9291666666666,273.0440625,273.8979166666666,272.2750833333334,276.4945752314814,284.0454583333334,270.9291666666666
130500,275.4209214015151,283.32687500000003,270.8765,272.31022916666666,273.26387500000004,271.3877083333333,276.1121863425926,283.32687500000003,270.8765
130600,272.4364678030303,278.6841666666666,266.6495416666666,269.55386458333334,271.83683333333335,268.6806666666667,273.0770462962964,278.6841666666666,266.6495416666666
130700,266.98170265151515,274.6595416666667,259.3275416666667,264.1091927083333,265.8347916666666,262.761,267.6200381944444,274.6595416666667,259.3275416666667
130800,266.6256070075758,274.4175833333333,257.6459583333334,264.1635885416666,265.72158333333334,262.63770833333336,267.1727222222222,274.4175833333333,257.6459583333334
130900,275.3485189393939,283.4347083333333,270.49620833333336,272.96772395833335,274.09133333333335,271.8351666666667,275.8775844907407,283.4347083333333,270.49620833333336
131000,273.92242424242426,279.788,269.1184999999999,271.4174375,273.1495,269.9822083333333,274.4790879629629,279.788,269.1184999999999
131100,275.8695274621212,284.11150000000004,271.49779166666667,272.82436979166664,273.622,272.23900000000003,276.5462291666667,284.11150000000004,271.49779166666667
140100,270.5659242424243,278.455625,263.95616666666666,267.71496874999997,270.1067083333333,265.71737499999995,271.1994699074073,278.455625,263.95616666666666
140200,268.36983333333325,275.8657083333333,261.1255416666667,265.02411979166675,266.45820833333335,263.66800000000006,269.11332523148144,275.8657083333333,261.1255416666667
140300,271.841797348485,279.31250000000006,265.63587499999994,269.27282812500005,270.8765416666667,268.2429583333333,272.4126793981482,279.31250000000006,265.63587499999994
140400,272.951146780303,280.0673333333334,267.62741666666665,270.19801562500004,271.60637499999996,269.2973333333333,273.5629537037036,280.0673333333334,267.62741666666665
140500,274.15352083333323,281.28754166666664,269.18870833333335,270.923390625,271.78562500000004,269.80187500000005,274.87132754629624,281.28754166666664,269.18870833333335
140600,268.22322443181815,276.1729166666666,261.33570833333334,264.47102083333334,265.60175000000004,262.71824999999995,269.0570474537037,276.1729166666666,261.33570833333334
140700,272.7870321969697,279.57949999999994,266.7934583333334,270.36308333333335,271.63741666666664,268.75029166666667,273.32568749999996,279.57949999999994,266.7934583333334
140800,276.4643295454545,283.4765416666667,270.8950416666667,273.72029166666664,274.8389583333333,272.1824166666667,277.07411574074075,283.4765416666667,270.8950416666667
140900,268.6831278409091,276.53349999999995,261.7362083333333,265.1073802083333,266.3787916666667,263.02825,269.47773842592596,276.53349999999995,261.7362083333333
141000,274.000574810606,281.2274166666666,267.454625,271.5194895833333,272.62712500000004,269.80854166666666,274.55192708333334,281.2274166666666,267.454625
141100,271.49071306818183,279.5454583333333,264.3633333333334,268.58125,270.091375,266.3080416666666,272.1372604166667,279.5454583333333,264.3633333333334
150100,266.99334943181816,275.8783333333333,258.77937499999996,263.1826822916667,264.4282083333333,260.9969583333333,267.8401643518519,275.8783333333333,258.77937499999996
150200,266.11139393939396,275.3320416666667,256.44495833333326,262.81884375,265.0575,259.741125,266.84307175925926,275.3320416666667,256.44495833333326
150300,270.66036174242424,281.15945833333336,259.91808333333336,267.36190104166667,269.2437916666666,266.28833333333336,271.3933530092593,281.15945833333336,259.91808333333336
150400,264.1525331439394,274.9703333333333,252.692125,262.2274166666667,264.72312500000004,260.40216666666663,264.5803368055556,274.9703333333333,252.692125
150500,264.93792329545454,276.62845833333336,253.2759166666667,262.2710260416667,266.4632083333333,260.49825,265.5305671296297,276.62845833333336,253.2759166666667
150600,269.6985776515152,279.46220833333325,260.4362083333333,266.117984375,268.0247083333333,264.50079166666666,270.4942650462963,279.46220833333325,260.4362083333333
150700,256.08162973484843,263.58325,246.30825000000002,251.58469791666667,253.87750000000003,250.58345833333328,257.0809479166667,263.58325,246.30825000000002
150800,267.2835340909091,277.9392916666667,257.97770833333334,264.08459895833334,265.9918333333333,262.21575,267.99440856481493,277.9392916666667,257.97770833333334
150900,265.48323011363635,274.3317083333333,257.3070000000001,262.41484375,263.9124583333333,259.91354166666673,266.16509375000004,274.3317083333333,257.3070000000001
152200,260.4180255681818,270.47545833333334,248.89899999999992,257.668359375,259.87304166666667,256.42650000000003,261.02906250000007,270.47545833333334,248.89899999999992
152500,261.3255634469698,271.05262500000003,249.48624999999993,259.09853125000006,260.526,256.75729166666673,261.8204594907408,271.05262500000003,249.48624999999993
152900,269.85907196969697,279.227625,260.9892916666667,266.4692395833333,267.97529166666664,265.7263333333333,270.6123680555555,279.227625,260.9892916666667
