id,name,city_baidu_id,420100_moveIn_mean,420100_moveIn_mean_before,420100_moveIn_mean_after,420100_moveIn_max,420100_moveIn_max_before,420100_moveIn_max_after,420100_moveIn_min,420100_moveIn_min_before,420100_moveIn_min_after
211000,辽阳市,211000,0.0002437488,0.0,0.000304686,0.006095087999999999,0.0,0.006095087999999999,0.0,0.0,0.0
211100,盘锦市,211100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211200,铁岭市,211200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211300,朝阳市,211300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211400,葫芦岛市,211400,0.0012599064,0.0,0.001574883,0.026869320000000002,0.0,0.026869320000000002,0.0,0.0,0.0
220100,长春市,220100,0.0053799336,0.0,0.006724917,0.039663432,0.0,0.039663432,0.0,0.0,0.0
220200,吉林市,220200,0.0006868439999999999,0.0,0.000858555,0.008158967999999999,0.0,0.008158967999999999,0.0,0.0,0.0
220300,四平市,220300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220400,辽源市,220400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220500,通化市,220500,0.0002477952,0.0,0.000309744,0.006095087999999999,0.0,0.006095087999999999,0.0,0.0,0.0
220600,白山市,220600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220700,松原市,220700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220800,白城市,220800,0.00025632,0.0,0.0003204,0.006095087999999999,0.0,0.006095087999999999,0.0,0.0,0.0
222400,延边朝鲜族自治州,222400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230100,哈尔滨市,230100,0.21115527840000006,1.039605408,0.004042746,1.3330727279999999,1.3330727279999999,0.013742460000000001,0.0,0.103734432,0.0
230200,齐齐哈尔市,230200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230300,鸡西市,230300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230400,鹤岗市,230400,0.0001045872,0.0,0.000130734,0.004706424,0.0,0.004706424,0.0,0.0,0.0
230500,双鸭山市,230500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230600,大庆市,230600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
