id,moveIn_index_mean,moveIn_index_max,moveIn_index_min,moveIn_index_mean_before,moveIn_index_max_before,moveIn_index_min_before,moveIn_index_mean_after,moveIn_index_max_after,moveIn_index_min_after,moveOut_index_mean,moveOut_index_max,moveOut_index_min,moveOut_index_mean_before,moveOut_index_max_before,moveOut_index_min_before,moveOut_index_mean_after,moveOut_index_max_after,moveOut_index_min_after,travel_index_mean,travel_index_max,travel_index_min,travel_index_mean_before,travel_index_max_before,travel_index_min_before,travel_index_mean_after,travel_index_max_after,travel_index_min_after
210200,0.6314652000000001,1.3596984,0.1585008,1.0051092000000001,1.2034332,0.5785668,0.5380542000000001,1.3596984,0.1585008,0.6656702400000001,2.7114588,0.1121688,2.0239344,2.7114588,1.0565964,0.32610420000000007,1.0430856,0.1121688,3.2147333333333323,6.0302,1.5559,4.8082,6.0302,3.0511,2.8163666666666667,3.998,1.5559
210300,0.4576989600000003,1.3062708,0.1361124,0.9736992,1.3062708,0.7856676,0.3286988999999999,1.1462796,0.1361124,0.46842696000000006,1.0901628,0.141588,0.7810163999999999,0.8128188,0.7472736,0.39027960000000006,1.0901628,0.141588,3.646613333333333,6.0334,2.0581,5.4119111111111105,6.0334,4.282,3.20528888888889,4.4937,2.0581
210400,0.24571295999999998,0.773712,0.0690444,0.5661756,0.773712,0.4461156,0.1655973,0.5302908,0.0690444,0.24259535999999998,0.4929012,0.0811296,0.3814992,0.4232736,0.3203388,0.20786939999999998,0.4929012,0.0811296,3.5575866666666665,5.5384,2.2454,5.054711111111112,5.5384,4.044,3.183305555555555,4.2868,2.2454
210500,0.15776928000000004,0.5670648,0.0285444,0.39601079999999994,0.5670648,0.2985012,0.09820889999999999,0.3346596,0.0285444,0.16110576000000001,0.3522852,0.0381024,0.26648279999999996,0.3012228,0.227286,0.13476150000000003,0.3522852,0.0381024,3.4569111111111126,5.7931,1.8584,5.208433333333335,5.7931,3.9501,3.0190305555555565,4.4807,1.8584
210600,0.17993808,0.7046028,0.0317196,0.4795488,0.7046028,0.3439908,0.1050354,0.4060692,0.0317196,0.18424656000000003,0.4391496,0.0437724,0.2616264,0.3156084,0.17658,0.16490159999999998,0.4391496,0.0437724,3.641002222222222,5.9143,2.0854,5.301366666666667,5.9143,3.9326,3.2259111111111114,4.7299,2.0854
210700,0.43403039999999987,1.3927464,0.1277856,0.9918971999999998,1.3927464,0.7256628,0.2945637,1.0868904,0.1277856,0.4191192000000001,0.917406,0.1559736,0.6271344,0.7266672,0.5434128,0.3671154,0.917406,0.1559736,3.5969377777777773,5.6624,2.198,5.307322222222222,5.6624,4.2449,3.169341666666666,4.4845,2.198
210800,0.30409416000000006,0.8528652,0.0865404,0.6414659999999999,0.8528652,0.519696,0.21975119999999998,0.6812748,0.0865404,0.31790592,0.6319296,0.0939276,0.511344,0.5877036,0.3835188,0.2695464,0.6319296,0.0939276,3.9713755555555563,6.2617,2.2779,5.5514222222222225,6.2617,4.0594,3.576363888888889,5.2372,2.2779
210900,0.19731672,0.7279308,0.050544,0.4881492,0.7279308,0.346518,0.12460860000000001,0.5237784,0.050544,0.19164383999999993,0.446796,0.071604,0.26263800000000004,0.2927016,0.2395332,0.17389529999999997,0.446796,0.071604,3.554479999999999,5.7681,2.1057,5.385388888888889,5.7681,4.7018,3.0967527777777786,5.1042,2.1057
211000,0.31250376,0.8157996,0.099954,0.6474527999999999,0.8157996,0.5346,0.2287665,0.7145172,0.099954,0.29181528,0.7067088,0.1029024,0.45748439999999996,0.5037876,0.371142,0.2503979999999999,0.7067088,0.1029024,3.7669888888888896,5.8071,2.1667,5.269622222222223,5.8071,4.2122,3.3913305555555557,4.8588,2.1667
211100,0.2562595199999999,0.598752,0.09396,0.44836560000000003,0.519372,0.380052,0.20823299999999997,0.598752,0.09396,0.2684613599999999,0.7026588,0.093312,0.5529528,0.7026588,0.4555764,0.19733850000000003,0.6179652,0.093312,3.5565155555555563,6.4824,1.886,5.683655555555556,6.4824,4.2128,3.0247305555555557,4.9132,1.886
