FID,city_id
0,110000.000000000000000
1,120000.000000000000000
2,130100.000000000000000
3,130200.000000000000000
4,130300.000000000000000
5,130400.000000000000000
6,130500.000000000000000
7,130600.000000000000000
8,130700.000000000000000
9,130800.000000000000000
10,130900.000000000000000
11,131000.000000000000000
12,131100.000000000000000
13,140100.000000000000000
14,140200.000000000000000
15,140300.000000000000000
16,140400.000000000000000
17,140500.000000000000000
18,140600.000000000000000
19,140700.000000000000000
20,140800.000000000000000
21,140900.000000000000000
22,141000.000000000000000
23,141100.000000000000000
24,150100.000000000000000
25,150200.000000000000000
26,150300.000000000000000
27,150400.000000000000000
28,150500.000000000000000
29,150600.000000000000000
30,150700.000000000000000
31,150800.000000000000000
32,150900.000000000000000
33,152200.000000000000000
34,152500.000000000000000
35,152900.000000000000000
36,210100.000000000000000
37,210200.000000000000000
38,210300.000000000000000
39,210400.000000000000000
40,210500.000000000000000
41,210600.000000000000000
42,210700.000000000000000
43,210800.000000000000000
44,210900.000000000000000
45,211000.000000000000000
46,211100.000000000000000
47,211200.000000000000000
48,211300.000000000000000
49,211400.000000000000000
50,220100.000000000000000
51,220200.000000000000000
52,220300.000000000000000
53,220400.000000000000000
54,220500.000000000000000
55,220600.000000000000000
56,220700.000000000000000
57,220800.000000000000000
58,222400.000000000000000
59,230100.000000000000000
60,230200.000000000000000
61,230300.000000000000000
62,230400.000000000000000
63,230500.000000000000000
64,230600.000000000000000
65,230700.000000000000000
66,230800.000000000000000
67,230900.000000000000000
68,231000.000000000000000
69,231100.000000000000000
70,231200.000000000000000
71,232700.000000000000000
72,310000.000000000000000
73,320100.000000000000000
74,320200.000000000000000
75,320300.000000000000000
76,320400.000000000000000
77,320500.000000000000000
78,320600.000000000000000
79,320700.000000000000000
80,320800.000000000000000
81,320900.000000000000000
82,321000.000000000000000
83,321100.000000000000000
84,321200.000000000000000
85,321300.000000000000000
86,330100.000000000000000
87,330200.000000000000000
88,330300.000000000000000
89,330400.000000000000000
90,330500.000000000000000
91,330600.000000000000000
92,330700.000000000000000
93,330800.000000000000000
94,330900.000000000000000
95,331000.000000000000000
96,331100.000000000000000
97,340100.000000000000000
98,340200.000000000000000
99,340300.000000000000000
100,340400.000000000000000
101,340500.000000000000000
102,340600.000000000000000
103,340700.000000000000000
104,340800.000000000000000
105,341000.000000000000000
106,341100.000000000000000
107,341200.000000000000000
108,341300.000000000000000
109,341500.000000000000000
110,341600.000000000000000
111,341700.000000000000000
112,341800.000000000000000
113,350100.000000000000000
114,350200.000000000000000
115,350300.000000000000000
116,350400.000000000000000
117,350500.000000000000000
118,350600.000000000000000
119,350700.000000000000000
120,350800.000000000000000
121,350900.000000000000000
122,360100.000000000000000
